id,vehicle,player,damage,isWin,createTime
711,160,SoC-Misaka,5155,失败,2021-09-16 09:12:11
712,261,SoC-Misaka,5060,失败,2021-09-16 09:12:18
713,335,SXE_彼夜、时雨未央,7077,失败,2021-09-16 09:12:49
714,128,SoC-Misaka,6215,平局,2021-09-16 09:12:59
715,134,SoC-Misaka,6484,失败,2021-09-16 09:16:08
716,138,一生所爱·nxn,6192,胜利,2021-09-16 09:16:34
717,164,SoC-Misaka,4319,胜利,2021-09-16 09:16:49
718,135,一生所爱·nxn,5703,胜利,2021-09-16 09:17:36
719,227,Alm_misaka_CN,4253,胜利,2021-09-16 09:18:18
720,332,虎鲨计划,5059,胜利,2021-09-16 09:18:51
721,388,一生所爱·nxn,5444,平局,2021-09-16 09:19:12
722,33,虎鲨计划,6338,失败,2021-09-16 09:19:18
723,462,虎鲨计划,4117,胜利,2021-09-16 09:19:49
724,130,LIGht_快乐白给_最强孤,7594,胜利,2021-09-16 09:20:14
725,130,太平洋_9,7896,胜利,2021-09-16 09:20:21
726,284,FloodedFlover,1362,胜利,2021-09-16 09:20:29
727,346,黄韵炜1,6021,胜利,2021-09-16 09:20:36
728,290,series500九条美里,3307,胜利,2021-09-16 09:20:57
729,383,FloodedFlover,5413,胜利,2021-09-16 09:21:03
730,131,LIGht_快乐白给_最强孤,5019,胜利,2021-09-16 09:21:10
731,453,FloodedFlover,2592,失败,2021-09-16 09:21:48
732,423,Rasputin-typeK,8654,胜利,2021-09-16 09:22:08
733,122,Rasputin-typeK,8006,胜利,2021-09-16 09:22:22
734,27,浪神呦,7361,胜利,2021-09-16 09:22:45
735,32,取名超浪费脑细胞,7200,胜利,2021-09-16 09:22:56
736,126,kkkk_128,6935,,2021-09-16 09:23:05
739,195,series500九条美里,2508,胜利,2021-09-16 09:29:58
740,195,IFA_团小闹钟_万场氪孤,3155,胜利,2021-09-16 10:48:21
741,286,Cloud9.Shroud,1964,胜利,2021-09-16 10:49:30
742,33,jsjsjzisjsj5,7160,胜利,2021-09-16 10:49:41
743,129,jsjsjzisjsj5,6339,失败,2021-09-16 10:49:52
744,283,Cloud9.Shroud,2658,胜利,2021-09-16 10:50:02
745,328,Cloud9.Shroud,4773,胜利,2021-09-16 10:50:10
746,85,Cloud9.Shroud,1482,胜利,2021-09-16 10:50:18
747,130,浪神呦,7225,胜利,2021-09-16 10:50:26
748,131,莱因哈特.冯.霍夫曼,5477,胜利,2021-09-16 10:50:32
749,127,海因里希·汉斯·邓尼茨,7833,胜利,2021-09-16 10:50:40
750,465,roll.14,5114,胜利,2021-09-16 10:50:49
751,153,魔法少女tritri,4136,胜利,2021-09-16 11:06:32
752,166,LSP_系雪风大人_祥瑞御免,3894,胜利,2021-09-16 11:06:41
753,430,魔法少女tritri,5962,胜利,2021-09-16 11:06:53
754,374,魔法少女tritri,4604,胜利,2021-09-16 11:07:13
755,26,LSP_是屑某登啊_Feb.,5938,胜利,2021-09-16 11:07:27
756,198,LSP_是屑某登呀_Feb.,5026,失败,2021-09-16 11:07:33
757,131,银帝,6748,平局,2021-09-16 11:08:21
758,250,LSP_系雪风大人_祥瑞御免,3732,失败,2021-09-16 12:13:00
759,191,LSP_系雪风大人_祥瑞御免,3140,胜利,2021-09-16 12:13:20
760,310,LSP_系雪风大人_祥瑞御免,3456,胜利,2021-09-16 12:13:30
761,148,LSP_系雪风大人_祥瑞御免,3630,胜利,2021-09-16 12:13:34
762,466,LSP_系雪风大人_祥瑞御免,3586,胜利,2021-09-16 12:13:43
763,36,凌莲初启,6387,胜利,2021-09-16 13:00:03
764,36,绾花行,7064,胜利,2021-09-16 13:00:12
